repo,baseline,rv,rv(x),races,hb,hb:pp,hb(x),races,hbepoch,hbepoch:pp,hbepoch(x),races,shb,shb:pp,shb(x),races,shbepoch,shbepoch:pp,shbepoch(x),races,fhb,fhb:pp,fhb(x),races,lockset,lockset:pp,lockset(x),races,goldilocks,goldilocks:pp,goldilocks(x),races,wcp,wcp:pp,wcp(x),races,syncp,syncp:pp,syncp(x),races
RuntimeTools/javametrics,44.3,51.1,1.2,39,49.8,0.5,1.1,53,49.7,0.5,1.1,53,49.7,0.5,1.1,17,49.7,0.4,1.1,16,49.8,0.4,1.1,15,50,0.5,1.1,57,50.6,0.4,1.2,59,50,0.5,1.1,53,FAIL,,,
gilbutITbook/006955,10.2,15.7,1.5,4,15,0.2,1.5,4,14.6,0.3,1.5,4,14.8,0.2,1.5,4,14.7,0.4,1.5,4,15.4,0.2,1.5,2,14.7,0.3,1.5,37,14.7,0.2,1.5,5,14.9,0.2,1.5,8,FAIL,,,
blackdoor/blackdoor,1.8,7.5,4.3,4,11,0.9,6.8,10,10.8,0.8,6.6,10,10.7,0.6,6.4,1,10.7,0.6,6.5,1,10.4,0.6,6.3,1,10.3,0.7,6.3,24,10.8,0.7,6.6,10,10.5,0.8,6.5,11,FAIL,,,
spotify/trickle,8.8,52.7,6,0,157.7,10.1,19,4,180,9.9,21.5,4,181.6,10,21.7,1,183.9,10.2,22,1,187.9,10.4,22.4,1,181.1,9.9,21.6,65,1245.2,10.2,142,6,FAIL,,,,FAIL,,,0
uia4j/uia-sim,8.5,27.3,3.2,11,106.6,18.1,14.7,24,104.1,17.6,14.3,23,106,15,14.2,4,106.4,15,14.3,4,142.4,15.2,18.5,4,105.4,12.3,13.9,70,1988.3,11.5,235.3,32,FAIL,,,,TO,,10164.7,0
seaswalker/netty-wheel,23.4,27.6,1.2,0,26.6,0.3,1.2,0,26.6,0.3,1.1,0,26.4,0.3,1.1,0,26.5,0.2,1.1,0,26.8,0.3,1.2,0,26.6,0.3,1.1,0,27,0.3,1.2,0,26.8,0.3,1.2,0,FAIL,,,
graylog-labs/log4j2-gelf,5.6,12.5,2.2,1,72.1,5,13.7,14,71.1,5,13.5,16,73.1,5,13.9,6,71.9,5,13.6,6,74.4,5,14.1,6,72.2,4.9,13.7,53,251.5,5.2,45.5,14,FAIL,,,,TO,,15428.6,0
rjo1970/dumbster,1.5,6,3.9,0,12.7,0.8,8.7,2,13.5,0.8,9.3,2,12.5,1.1,8.8,2,13.2,0.8,9.1,2,12.4,0.8,8.6,2,12.1,0.8,8.4,51,14.4,0.8,9.8,2,FAIL,,,,TO,,57600.0,0
SonarSource/sonar-auth-bitbucket,2.1,8.1,3.8,0,35.8,2.1,17.9,12,35.9,2.1,18,11,35.1,2,17.5,2,35.2,2.1,17.6,2,35.4,2.1,17.7,2,34.8,2.1,17.4,20,61.8,2.1,30.2,11,FAIL,,,,TO,,41142.9,0
GoogleCloudPlatform/appengine-angular-guestbook-java,11.5,26.5,2.3,0,636.5,45.9,59.2,3,639.9,47.1,59.6,3,647.2,45.4,60.1,3,649.3,45.8,60.3,3,658.5,44.8,61,1,640.1,46,59.5,28,1563.4,46,139.6,11,FAIL,,,,TO,,7513.0,0
