repo,alg,base_rt,base_mem,rt1,pp1,mem1,races1,rt2,pp2,mem2,races2,rt3,pp3,mem3,races3
bingoohuang/westid,wcp,4.35,299440.00,,,,0,,,,0,4139.22,536.46,14739596.00,0
buddycloud/buddycloud-server-java,fhb,21.25,628536.00,159.21,16.73,1186790.67,1,116.17,7.21,1165388.00,0,86.68,6.60,1153381.33,0
buddycloud/buddycloud-server-java,goldilocks,8.68,601921.33,226.02,12.22,1205692.00,11,209.44,11.53,1204138.67,3,185.97,10.63,1210329.33,3
buddycloud/buddycloud-server-java,hb,18.11,619736.00,150.18,15.19,1010669.33,0,82.57,7.27,1050138.67,0,88.45,8.42,1053556.00,0
buddycloud/buddycloud-server-java,lockset,21.22,614862.67,147.49,11.23,973658.67,0,141.79,16.58,1049837.33,0,109.14,8.41,1053401.33,0
buddycloud/buddycloud-server-java,shb,16.59,625489.33,153.22,9.73,1034904.00,0,129.79,8.19,1070277.33,0,147.75,10.95,999926.67,0
buddycloud/buddycloud-server-java,shbepoch,19.43,624380.00,147.20,11.51,1034658.67,0,94.71,16.18,1052760.00,0,85.73,6.35,1061338.67,0
buddycloud/buddycloud-server-java,syncp,17.35,624597.33,9322.35,11.92,1254973.33,0,8277.46,25.94,1272374.67,0,7525.33,11.04,1266245.33,0
buddycloud/buddycloud-server-java,wcp,27.64,628749.33,195.92,14.11,1240202.67,0,546.46,8.35,1258549.33,0,492.76,15.80,1269404.00,0
buddycloud/channel-directory,fhb,10.44,292812.00,,,,0,,,,0,,,,0
buddycloud/channel-directory,hb,10.68,268081.33,,,,0,,,,0,,,,0
buddycloud/channel-directory,hbepoch,7.01,283356.00,,,,0,,,,0,,,,0
buddycloud/channel-directory,lockset,6.96,267157.33,,,,0,,,,0,,,,0
buddycloud/channel-directory,shb,11.02,298349.33,,,,0,,,,0,,,,0
buddycloud/channel-directory,shbepoch,10.59,280110.67,,,,0,,,,0,,,,0
cilogi/gaeshiro,fhb,20.72,286228.00,25.60,1.31,2484585.33,3,33.42,1.70,2573481.33,3,19.58,1.27,2597280.00,3
cilogi/gaeshiro,goldilocks,20.32,279481.33,59.03,3.42,2654032.00,6,35.71,3.86,2173400.00,6,26.16,1.27,2490320.00,6
cilogi/gaeshiro,hb,11.11,292700.00,31.77,1.77,2328157.33,4,31.91,1.68,2298690.67,4,21.52,1.46,2262400.00,4
cilogi/gaeshiro,hbepoch,20.69,282137.33,41.88,2.68,1876824.00,4,33.88,5.41,2190988.00,4,21.60,1.60,2431825.33,4
cilogi/gaeshiro,lockset,19.27,272836.00,25.06,1.57,2309992.00,65,32.04,6.56,2385666.67,65,18.57,1.48,2331648.00,65
cilogi/gaeshiro,shb,20.42,296170.67,40.92,2.79,1058566.67,3,20.67,1.27,2432665.33,3,25.00,1.61,2458448.00,3
cilogi/gaeshiro,shbepoch,18.04,282632.00,24.67,1.73,2312705.33,3,35.95,2.11,1992857.33,3,18.62,1.43,2434868.00,3
cilogi/gaeshiro,wcp,18.57,275501.33,76.27,2.59,24147962.67,11,105.46,2.06,23088617.33,9,67.97,1.34,22584449.33,9
dubasdey/portable-ftp-server,fhb,3.05,262300.00,14.95,0.53,431566.67,2,8.17,0.26,660080.00,2,8.53,0.42,630484.00,2
dubasdey/portable-ftp-server,goldilocks,4.38,264482.00,,,,2,9.21,0.25,680124.00,2,10.64,0.38,670232.00,2
dubasdey/portable-ftp-server,hb,3.28,257069.33,7.19,0.23,666220.00,2,9.65,0.29,668724.00,2,7.95,0.29,642061.33,2
dubasdey/portable-ftp-server,hbepoch,4.29,258952.00,6.47,0.36,634701.33,2,9.96,0.34,677081.33,2,13.78,0.92,670674.67,2
dubasdey/portable-ftp-server,lockset,3.80,256056.00,7.08,0.23,665028.00,8,9.77,0.34,660409.33,8,8.10,0.26,648992.00,8
dubasdey/portable-ftp-server,shb,2.90,252202.67,6.83,0.22,671684.00,2,5.61,0.18,643882.67,2,9.35,0.61,643406.00,0
